ANNEE,PREMPRENOM,NOMBREPREMPRENOM,ORDRE
2007,MARTIN,20,83
2007,NINA,20,84
2007,DORIAN,19,85
2007,MATHYS,19,86
2007,OCÉANE,19,87
2007,AMBRE,18,88
2007,MARIE,18,89
2007,TIMÉO,18,90
2007,TRISTAN,18,91
2007,CÉLIA,17,92
2007,JULIEN,17,93
2007,LILY,17,94
2007,OSCAR,17,95
2007,ELISA,16,96
2007,MARIUS,16,97
2007,MÉLISSA,16,98
2007,SALOMÉ,16,99
2007,SARA,16,100
2006,ENZO,93,1
2006,EMMA,75,2
2006,CAMILLE,67,3
2006,HUGO,67,4
2006,LUCAS,62,5
2006,THOMAS,62,6
2006,RAPHAËL,61,7
2006,MAXIME,60,8
2006,ARTHUR,59,9
2006,SARAH,59,10
2006,NATHAN,58,11
2006,CLARA,57,12
2006,JADE,57,13
2006,PAUL,57,14
2006,ANTOINE,56,15
2006,LÉA,52,16
2006,LOLA,52,17
2006,LOUIS,51,18
2006,INÈS,49,19
2006,MANON,49,20
2006,TOM,49,21
2006,CHLOÉ,48,22
2006,ETHAN,48,23
2006,MATHIS,46,24
2006,MARIE,45,25
2006,JEANNE,43,26
2006,THÉO,43,27
2006,JULIETTE,42,28
2006,YANIS,42,29
2006,NOAH,40,30
2006,JULES,39,31
2006,LUCIE,39,32
2006,CHARLOTTE,38,33
2006,MATHÉO,38,34
2006,VICTOR,37,35
2006,BAPTISTE,35,36
2006,LOUISE,35,37
2006,ALEXANDRE,34,38
2006,EVAN,33,39
2006,ANAÏS,32,40
2006,CLÉMENCE,32,41
2006,LÉO,32,42
2006,LOU,32,43
2006,MATHILDE,32,44
2006,QUENTIN,31,45
2006,ALEXIS,30,46
2006,EVA,29,47
2006,LISA,29,48
2006,ROMAIN,29,49
2006,ROMANE,29,50
2006,SAMUEL,29,51
2006,GABRIEL,28,52
2006,MAËL,28,53
2006,NOA,28,54
2006,ZOÉ,28,55
2006,JULIE,27,56
2006,LINA,27,57
2006,SACHA,27,58
2006,CLÉMENT,26,59
2006,PIERRE,26,60
2006,VALENTIN,26,61
2006,ADAM,25,62
2006,AMBRE,25,63
2006,LÉNA,25,64
2006,OCÉANE,25,65
2006,ESTEBAN,24,66
2006,LILOU,24,67
2006,MATTÉO,24,68
2006,PAULINE,24,69
2006,AGATHE,22,70
2006,ALICE,22,71
2006,JULIEN,21,72
2006,LOUNA,21,73
2006,MARGAUX,21,74
2006,EMILIE,20,75
2006,NOÉ,20,76
2006,AXEL,19,77
2006,MARTIN,19,78
2006,MAXENCE,19,79
2006,NINA,19,80
2006,TITOUAN,19,81
2006,BENJAMIN,18,82
2006,MARGOT,18,83
2006,MATHIEU,18,84
2006,NOÉMIE,18,85
2006,ADRIEN,17,86
2006,ANNA,17,87
2006,MAËLLE,17,88
2006,MARINE,17,89
2006,MATHYS,17,90
2006,NICOLAS,17,91
2006,OSCAR,17,92
2006,SARA,17,93
2006,CARLA,16,94
2006,JULIA,16,95
2006,LUNA,16,96
2006,RAYAN,16,97
2006,SIMON,16,98
2006,TRISTAN,16,99
2006,VALENTINE,16,100
2005,ENZO,97,1
2005,EMMA,78,2
2005,CAMILLE,61,3
2005,ANTOINE,58,4
2005,LUCAS,58,5
2005,THÉO,58,6
2005,RAPHAËL,57,7
2005,THOMAS,57,8
2005,CLARA,56,9
2005,MAXIME,55,10
2005,SARAH,55,11
2005,ARTHUR,53,12
2005,MANON,50,13
2005,LÉA,49,14
2005,MATHIS,48,15
2005,JADE,46,16
2005,LÉO,46,17
2005,NATHAN,45,18
2005,PAUL,43,19
2005,BAPTISTE,42,20
2005,CHLOÉ,42,21
2005,HUGO,42,22
2005,JULES,42,23
2005,LOUIS,42,24
2005,ALEXANDRE,41,25
2005,MATHILDE,41,26
2005,TOM,41,27
2005,AXEL,40,28
2005,CLÉMENT,40,29
2005,JEANNE,39,30
2005,INÈS,38,31
2005,YANIS,38,32
2005,CARLA,37,33
2005,ROMAIN,37,34
2005,LOLA,36,35
2005,LUCIE,36,36
2005,MATHÉO,35,37
2005,JULIETTE,33,38
2005,QUENTIN,33,39
2005,ALEXIS,32,40
2005,ZOÉ,32,41
2005,ANAÏS,31,42
2005,CHARLOTTE,31,43
2005,GABRIEL,31,44
2005,NOAH,31,45
2005,OCÉANE,31,46
2005,VALENTIN,31,47
2005,ADRIEN,30,48
2005,MARIE,30,49
2005,EVAN,28,50
2005,LISA,28,51
2005,LOUISE,28,52
2005,NICOLAS,28,53
2005,SAMUEL,28,54
2005,ANNA,27,55
2005,MATÉO,27,56
2005,VICTOR,27,57
2005,PIERRE,26,58
2005,LÉNA,25,59
2005,DYLAN,24,60
2005,JULIEN,24,61
2005,LOU,24,62
2005,MARGOT,24,63
2005,EVA,23,64
2005,JULIE,23,65
2005,JUSTINE,23,66
2005,LUNA,23,67
